index,paragraph
74,this wont last very long and you cant tell what theyll do to you next but the disciple wouldnt listen to the gurus wisdom he wanted to stay the guru finally gave up and said do what you want im going and left the disciple stayed on ate his fill every day bananas and ghee and rice and wheat and grew fat like a street side sacred bull one bright day a thief broke into a rich merchants house
75,he had made a hole in the wall and sneaked in and as he was carrying out his loot the wall of the old house collapsed on his head and killed him on the spot his brother ran to the king and complained your highness when my brother was pursuing his ancient trade a wall fell on him and killed him this merchant is to blame he should have built a good strong wall you must punish the wrongdoer and compensate the family for this injustice the king said justice will be done
76,dont worry and at once summoned the owner of the house when the merchant arrived the king questioned him were you at home when the dead man burgled your house yes my lord he broke in and the wall was weak it fell on him the accused pleads guilty your wall killed this mans brother you have murdered a man we have to punish you lord said the helpless merchant i didnt put up the wall its really the fault of the man who built the wall he didnt build it right you should punish him
77,who is that my lord this wall was built in my fathers time i know the man hes an old man now he lives nearby the king sent out messengers to bring in the bricklayer who had built the wall they brought him tied hand and foot in the kingdom of fools both the king and the minister were idiots they didnt want to run things like other kings so they decided to change night into day and day into night
78,they ordered that everyone should be awake at night till their fields and run their businesses only after dark and go to bed as soon as the sun came up anyone who disobeyed would be punished with death the people did as they were told for fear of death the king and the minister were delighted at the success of their project one day a guru and his disciple arrived in the city it was a beautiful city it was broad daylight but there was no one about everyone was asleep not a mouse stirring
79,even the cattle had been taught to sleep by day the two strangers were amazed by what they saw around them and wandered around town till evening when suddenly the whole town woke up and went about its nightly business the two men were hungry now that the shops were open they went to buy some groceries to their astonishment they found that everything cost the same a single duddu whether they bought a measure of rice or a bunch of bananas it cost a duddu the guru and his disciple were delighted
80,they had never heard of anything like this they could buy all the food they wanted for a rupee when they had cooked and eaten the guru realised that this was a kingdom of fools and it wouldnt be a good idea for them to stay there this is no place for us lets go he said to his disciple but the disciple didnt want to leave the place everything was cheap here all he wanted was good cheap food the guru said they are all fools
81,this wont last very long and you cant tell what theyll do to you next but the disciple wouldnt listen to the gurus wisdom he wanted to stay the guru finally gave up and said do what you want im going and left the disciple stayed on ate his fill every day bananas and ghee and rice and wheat and grew fat like a street side sacred bull one bright day a thief broke into a rich merchants house
82,he had made a hole in the wall and sneaked in and as he was carrying out his loot the wall of the old house collapsed on his head and killed him on the spot his brother ran to the king and complained your highness when my brother was pursuing his ancient trade a wall fell on him and killed him this merchant is to blame he should have built a good strong wall you must punish the wrongdoer and compensate the family for this injustice the king said justice will be done
83,dont worry and at once summoned the owner of the house when the merchant arrived the king questioned him were you at home when the dead man burgled your house yes my lord he broke in and the wall was weak it fell on him the accused pleads guilty your wall killed this mans brother you have murdered a man we have to punish you lord said the helpless merchant i didnt put up the wall its really the fault of the man who built the wall he didnt build it right you should punish him
84,who is that my lord this wall was built in my fathers time i know the man hes an old man now he lives nearby the king sent out messengers to bring in the bricklayer who had built the wall they brought him tied hand and foot in the kingdom of fools both the king and the minister were idiots they didnt want to run things like other kings so they decided to change night into day and day into night
85,they ordered that everyone should be awake at night till their fields and run their businesses only after dark and go to bed as soon as the sun came up anyone who disobeyed would be punished with death the people did as they were told for fear of death the king and the minister were delighted at the success of their project one day a guru and his disciple arrived in the city it was a beautiful city it was broad daylight but there was no one about everyone was asleep not a mouse stirring
86,even the cattle had been taught to sleep by day the two strangers were amazed by what they saw around them and wandered around town till evening when suddenly the whole town woke up and went about its nightly business the two men were hungry now that the shops were open they went to buy some groceries to their astonishment they found that everything cost the same a single duddu whether they bought a measure of rice or a bunch of bananas it cost a duddu the guru and his disciple were delighted
87,they had never heard of anything like this they could buy all the food they wanted for a rupee when they had cooked and eaten the guru realised that this was a kingdom of fools and it wouldnt be a good idea for them to stay there this is no place for us lets go he said to his disciple but the disciple didnt want to leave the place everything was cheap here all he wanted was good cheap food the guru said they are all fools
88,this wont last very long and you cant tell what theyll do to you next but the disciple wouldnt listen to the gurus wisdom he wanted to stay the guru finally gave up and said do what you want im going and left the disciple stayed on ate his fill every day bananas and ghee and rice and wheat and grew fat like a street side sacred bull one bright day a thief broke into a rich merchants house
89,he had made a hole in the wall and sneaked in and as he was carrying out his loot the wall of the old house collapsed on his head and killed him on the spot his brother ran to the king and complained your highness when my brother was pursuing his ancient trade a wall fell on him and killed him this merchant is to blame he should have built a good strong wall you must punish the wrongdoer and compensate the family for this injustice the king said justice will be done
90,dont worry and at once summoned the owner of the house when the merchant arrived the king questioned him were you at home when the dead man burgled your house yes my lord he broke in and the wall was weak it fell on him the accused pleads guilty your wall killed this mans brother you have murdered a man we have to punish you lord said the helpless merchant i didnt put up the wall its really the fault of the man who built the wall he didnt build it right you should punish him
91,who is that my lord this wall was built in my fathers time i know the man hes an old man now he lives nearby the king sent out messengers to bring in the bricklayer who had built the wall they brought him tied hand and foot in the kingdom of fools both the king and the minister were idiots they didnt want to run things like other kings so they decided to change night into day and day into night
92,they ordered that everyone should be awake at night till their fields and run their businesses only after dark and go to bed as soon as the sun came up anyone who disobeyed would be punished with death the people did as they were told for fear of death the king and the minister were delighted at the success of their project one day a guru and his disciple arrived in the city it was a beautiful city it was broad daylight but there was no one about everyone was asleep not a mouse stirring
93,even the cattle had been taught to sleep by day the two strangers were amazed by what they saw around them and wandered around town till evening when suddenly the whole town woke up and went about its nightly business the two men were hungry now that the shops were open they went to buy some groceries to their astonishment they found that everything cost the same a single duddu whether they bought a measure of rice or a bunch of bananas it cost a duddu the guru and his disciple were delighted
94,they had never heard of anything like this they could buy all the food they wanted for a rupee when they had cooked and eaten the guru realised that this was a kingdom of fools and it wouldnt be a good idea for them to stay there this is no place for us lets go he said to his disciple but the disciple didnt want to leave the place everything was cheap here all he wanted was good cheap food the guru said they are all fools
95,this wont last very long and you cant tell what theyll do to you next but the disciple wouldnt listen to the gurus wisdom he wanted to stay the guru finally gave up and said do what you want im going and left the disciple stayed on ate his fill every day bananas and ghee and rice and wheat and grew fat like a street side sacred bull one bright day a thief broke into a rich merchants house
96,he had made a hole in the wall and sneaked in and as he was carrying out his loot the wall of the old house collapsed on his head and killed him on the spot his brother ran to the king and complained your highness when my brother was pursuing his ancient trade a wall fell on him and killed him this merchant is to blame he should have built a good strong wall you must punish the wrongdoer and compensate the family for this injustice the king said justice will be done
97,dont worry and at once summoned the owner of the house when the merchant arrived the king questioned him were you at home when the dead man burgled your house yes my lord he broke in and the wall was weak it fell on him the accused pleads guilty your wall killed this mans brother you have murdered a man we have to punish you lord said the helpless merchant i didnt put up the wall its really the fault of the man who built the wall he didnt build it right you should punish him
98,who is that my lord this wall was built in my fathers time i know the man hes an old man now he lives nearby the king sent out messengers to bring in the bricklayer who had built the wall they brought him tied hand and foot in the kingdom of fools both the king and the minister were idiots they didnt want to run things like other kings so they decided to change night into day and day into night
99,they ordered that everyone should be awake at night till their fields and run their businesses only after dark and go to bed as soon as the sun came up anyone who disobeyed would be punished with death the people did as they were told for fear of death the king and the minister were delighted at the success of their project one day a guru and his disciple arrived in the city it was a beautiful city it was broad daylight but there was no one about everyone was asleep not a mouse stirring
100,even the cattle had been taught to sleep by day the two strangers were amazed by what they saw around them and wandered around town till evening when suddenly the whole town woke up and went about its nightly business the two men were hungry now that the shops were open they went to buy some groceries to their astonishment they found that everything cost the same a single duddu whether they bought a measure of rice or a bunch of bananas it cost a duddu the guru and his disciple were delighted
101,they had never heard of anything like this they could buy all the food they wanted for a rupee when they had cooked and eaten the guru realised that this was a kingdom of fools and it wouldnt be a good idea for them to stay there this is no place for us lets go he said to his disciple but the disciple didnt want to leave the place everything was cheap here all he wanted was good cheap food the guru said they are all fools
102,this wont last very long and you cant tell what theyll do to you next but the disciple wouldnt listen to the gurus wisdom he wanted to stay the guru finally gave up and said do what you want im going and left the disciple stayed on ate his fill every day bananas and ghee and rice and wheat and grew fat like a street side sacred bull one bright day a thief broke into a rich merchants house
103,he had made a hole in the wall and sneaked in and as he was carrying out his loot the wall of the old house collapsed on his head and killed him on the spot his brother ran to the king and complained your highness when my brother was pursuing his ancient trade a wall fell on him and killed him this merchant is to blame he should have built a good strong wall you must punish the wrongdoer and compensate the family for this injustice the king said justice will be done
